"Rank","Name","Team","Pos","Age"
"1","Amari Dunmore","GB","WR","25.4"
"2","Bryce Kirkland","NO","RB","27.4"
"3","Caleb Rutherford","ATL","WR","22.6"
"4","Darnell Ziegler","HOU","WR","26.8"
"5","Elias Galloway","NYG","RB","28.8"
"6","Foster Nakamura","BAL","WR","23.9"
"7","Gideon Fairbanks","IND","TE","28.4"
"8","Hollis Marchetti","NYJ","RB","21.3"
"9","Isaiah Thackeray","BUF","WR","25.4"
"10","Jarrett Braddock","JAX","WR","29.6"
"11","Kellen Inglethorpe","PHI","RB","22.5"
"12","Lucian Ainsworth","CAR","TE","23.5"
"13","Malachi Holloway","KC","WR","30.9"
"14","Nasir Oyelaran","PIT","WR","23.9"
"15","Omari Vasquez","CHI","QB","33.6"
"16","Pierce Delacroix","LAC","RB","21.3"
"17","Quinton Kingsley","SEA","WR","25.4"
"18","Rashad Castellano","CIN","QB","35.1"
"19","Silas Jessup","LAR","WR","22.6"
"20","Tobias Quarles","SF","RB","25.9"
"21","Uriah Yarborough","CLE","WR","30.9"
"22","Vance Fontaine","LV","QB","27.8"
"23","Wendell Merriweather","TB","WR","28.3"
"24","Xavier Ellison","DAL","RB","21.3"
"25","Yusuf Langston","MIA","RB","24.4"
"26","Zane Sandoval","TEN","TE","23.5"
"27","Cormac Abernathy","DEN","WR","22.6"
"28","Dashiell Hartwell","MIN","TE","23.5"
"29","Emmett Ortega","WAS","WR","30.9"
"30","Finnian Grantham","DET","RB","23.8"
"31","Griffin Northcutt","NE","WR","28.3"
"32","Hakeem Underwood","ARI","TE","23.5"
"33","Ibrahim Calloway","GB","RB","24.4"
"34","Jericho Jamison","NO","WR","29.6"
"35","Kaden Blackwood","ATL","RB","22.5"
"36","Lorenzo Ivers","HOU","WR","26.8"
"37","Marcus Pemberton","NYG","QB","38.2"
"38","Nolan Whitfield","BAL","WR","23.9"
"39","Orion Everhart","IND","RB","26.7"
"40","Preston Lockridge","NYJ","QB","23.4"
"41","Rowan Dunmore","BUF","WR","25.4"
"42","Soren Kirkland","JAX","RB","27.4"
"43","Tavian Rutherford","PHI","QB","25.1"
"44","Ulises Ziegler","CAR","RB","25.9"
"45","Viggo Galloway","KC","QB","38.2"
"46","Wesley Nakamura","PIT","TE","23.5"
"47","Xander Fairbanks","CHI","WR","28.3"
"48","Yannick Marchetti","LAC","WR","21.8"
"49","Zeke Thackeray","SEA","WR","25.4"
"50","Alaric Braddock","CIN","TE","23.5"
"51","Amari Inglethorpe","LAR","RB","22.5"
"52","Bryce Ainsworth","SF","WR","26.8"
"53","Caleb Holloway","CLE","RB","28.8"
"54","Darnell Oyelaran","LV","WR","23.9"
"55","Elias Vasquez","TB","TE","28.4"
"56","Foster Delacroix","DAL","RB","21.3"
"57","Gideon Kingsley","MIA","WR","25.4"
"58","Hollis Castellano","TEN","RB","27.4"
"59","Isaiah Jessup","DEN","WR","22.6"
"60","Jarrett Quarles","MIN","RB","25.9"
"61","Kellen Yarborough","WAS","WR","30.9"
"62","Lucian Fontaine","DET","RB","23.8"
"63","Malachi Merriweather","NE","QB","33.6"
"64","Nasir Ellison","ARI","RB","21.3"
"65","Omari Langston","GB","WR","25.4"
"66","Pierce Sandoval","NO","QB","35.1"
"67","Quinton Abernathy","ATL","WR","22.6"
"68","Rashad Hartwell","HOU","WR","26.8"
"69","Silas Ortega","NYG","QB","38.2"
"70","Tobias Grantham","BAL","WR","23.9"
"71","Uriah Northcutt","IND","TE","28.4"
"72","Vance Underwood","NYJ","RB","21.3"
"73","Wendell Calloway","BUF","WR","25.4"
"74","Xavier Jamison","JAX","RB","27.4"
"75","Yusuf Blackwood","PHI","WR","22.6"
"76","Zane Ivers","CAR","TE","23.5"
"77","Cormac Pemberton","KC","WR","30.9"
"78","Dashiell Whitfield","PIT","RB","23.8"
"79","Emmett Everhart","CHI","WR","28.3"
"80","Finnian Lockridge","LAC","RB","21.3"
"81","Griffin Dunmore","SEA","QB","29.5"
"82","Hakeem Kirkland","CIN","RB","27.4"
"83","Ibrahim Rutherford","LAR","TE","28.4"
"84","Jericho Ziegler","SF","RB","25.9"
"85","Kaden Galloway","CLE","WR","30.9"
"86","Lorenzo Nakamura","LV","QB","27.8"
"87","Marcus Fairbanks","TB","RB","26.7"
"88","Nolan Marchetti","DAL","WR","21.8"
"89","Orion Thackeray","MIA","RB","24.4"
"90","Preston Braddock","TEN","WR","29.6"
"91","Rowan Inglethorpe","DEN","WR","22.6"
"92","Soren Ainsworth","MIN","WR","26.8"
"93","Tavian Holloway","WAS","WR","30.9"
"94","Ulises Oyelaran","DET","WR","23.9"
"95","Viggo Vasquez","NE","WR","28.3"
"96","Baltimore Ravens","BAL","DEF",""
"97","Wesley Delacroix","GB","K","29.1"
"98","Philadelphia Eagles","PHI","DEF",""
"99","Denver Broncos","DEN","DEF",""
"100","Xander Kingsley","HOU","K","26.4"
"101","Pittsburgh Steelers","PIT","DEF",""
"102","Yannick Castellano","BAL","K","29.1"
"103","Buffalo Bills","BUF","DEF",""
"104","Zeke Jessup","NYJ","K","31.8"
"105","Detroit Lions","DET","DEF",""
"106","Houston Texans","HOU","DEF",""
"107","Alaric Quarles","PHI","K","29.1"
"108","Green Bay Packers","GB","DEF",""
"109","Amari Yarborough","KC","K","31.8"
"110","Seattle Seahawks","SEA","DEF",""
"111","Bryce Fontaine","CHI","K","34.2"
